"Nest_ID","Year","Elevation","FirstEggDate","IncubationStart","ExpectedHatch","HatchDate","D8","D16","Clutch","Brood..D16.","Status","RFID","OLD_RFID","P_sex"
"51-1",2019,"L","16-May-19","28-May-19","9-Jun-19","9-Jun-19","16-Jun-19","24-Jun-19",7,7,"Success","0700EDD2AF","","M"
"51-1",2019,"L","16-May-19","28-May-19","9-Jun-19","9-Jun-19","16-Jun-19","24-Jun-19",7,7,"Success","0700ED9B18","110170075","F"
"55-1",2019,"L","18-May-19","28-May-19","9-Jun-19","9-Jun-19","16-Jun-19","24-Jun-19",7,7,"Success","0700EE38DF","","M"
"55-1",2019,"L","18-May-19","28-May-19","9-Jun-19","9-Jun-19","16-Jun-19","24-Jun-19",7,7,"Success","300022078","","F"
"55-4",2019,"L","17-May-19","28-May-19","9-Jun-19","10-Jun-19","17-Jun-19","25-Jun-19",9,8,"Success","01101714A5","","M"
"55-4",2019,"L","17-May-19","28-May-19","9-Jun-19","10-Jun-19","17-Jun-19","25-Jun-19",9,8,"Success","0700EDCC90","","F"
"55-7",2019,"L","19-May-19","28-May-19","9-Jun-19","10-Jun-19","17-Jun-19","25-Jun-19",7,3,"Success","0700EDAE57","","M"
"55-7",2019,"L","19-May-19","28-May-19","9-Jun-19","10-Jun-19","17-Jun-19","25-Jun-19",7,3,"Success","110172821","","F"
"58-2",2019,"L","28-Jun-19","4-Jun-19","16-Jun-19","16-Jun-19","23-Jun-19","1-Jul-19",6,6,"Success","0300030A60","","M"
"58-2",2019,"L","28-Jun-19","4-Jun-19","16-Jun-19","16-Jun-19","23-Jun-19","1-Jul-19",6,6,"Success","0700EE455A","","F"
"60",2019,"L","18-May-19","24-May-19","5-Jun-19","6-Jun-19","13-Jun-19","21-Jun-19",6,5,"Success","011017388B","","M"
"60",2019,"L","18-May-19","24-May-19","5-Jun-19","6-Jun-19","13-Jun-19","21-Jun-19",6,5,"Success","01101742F9","","F"
"61-2",2019,"L","14-May-19","23-May-19","4-Jun-19","4-Jun-19","11-Jun-19","19-Jun-19",7,NA,"Depredated","UNKNOWN","","M"
"61-2",2019,"L","14-May-19","23-May-19","4-Jun-19","4-Jun-19","11-Jun-19","19-Jun-19",7,NA,"Depredated","0700ED9715","","F"
"62-1",2019,"L","15-May-19","22-May-19","3-Jun-19","6-Jun-19","13-Jun-19","21-Jun-19",7,6,"Success","0300020B16","","M"
"62-1",2019,"L","15-May-19","22-May-19","3-Jun-19","6-Jun-19","13-Jun-19","21-Jun-19",7,6,"Success","0700EE39D0","","F"
"64",2019,"L","24-May-19","31-May-19","12-Jun-19","14-Jun-19","21-Jun-19","29-Jun-19",7,7,"Success","0700EDC24A","","M"
"64",2019,"L","24-May-19","31-May-19","12-Jun-19","14-Jun-19","21-Jun-19","29-Jun-19",7,7,"Success","0700EE1CDF","","F"
"64B-2",2019,"L","28-May-19","3-Jun-19","15-Jun-19","17-Jun-19","24-Jun-19","2-Jul-19",6,6,"Success","0700ED8D57","","M"
"64B-2",2019,"L","28-May-19","3-Jun-19","15-Jun-19","17-Jun-19","24-Jun-19","2-Jul-19",6,6,"Success","0700EDDDAF","","F"
"65-1",2019,"L","24-May-19","30-May-19","11-Jun-19","14-Jun-19","21-Jun-19","29-Jun-19",6,6,"Success","0700EE1F4A","","M"
"65-1",2019,"L","24-May-19","30-May-19","11-Jun-19","14-Jun-19","21-Jun-19","29-Jun-19",6,6,"Success","0110171EC2","","F"
